game_id,ok_n_rows,ok_n_players,ok_role_3_7,ok_winners,ok_consistency,all_ok,n_rows,n_players,winners,mafia_cnt,cit_cnt,winners_mafia,winners_citizens
230755,False,False,False,False,False,False,9,9,6,3,6,0,6
230756,False,False,False,False,False,False,9,9,6,3,6,0,6
230758,False,False,False,False,False,False,9,9,6,3,6,0,6
230764,False,False,False,False,False,False,9,9,6,3,6,0,6
230765,False,False,False,False,False,False,9,9,6,3,6,0,6
230767,False,False,False,False,False,False,9,9,6,3,6,0,6
230771,False,False,False,True,True,False,9,9,3,3,6,3,0
230773,False,False,False,True,True,False,9,9,3,3,6,3,0
230775,False,False,False,False,False,False,9,9,6,3,6,0,6
230778,False,False,False,False,False,False,9,9,6,3,6,0,6
230779,False,False,False,True,True,False,9,9,3,3,6,3,0
230781,False,False,False,True,True,False,9,9,3,3,6,3,0
230782,False,False,False,False,False,False,9,9,6,3,6,0,6
230783,False,False,False,False,False,False,8,8,5,3,5,0,5
230784,False,False,False,True,True,False,9,9,3,3,6,3,0
235347,True,True,True,False,False,False,10,10,0,3,7,0,0
238848,False,False,False,True,True,False,9,9,3,3,6,3,0
239108,True,True,True,False,False,False,10,10,0,3,7,0,0
239109,True,True,True,False,False,False,10,10,0,3,7,0,0
239110,True,True,True,False,False,False,10,10,0,3,7,0,0
240513,True,True,True,False,False,False,10,10,0,3,7,0,0
242775,True,True,True,False,False,False,10,10,0,3,7,0,0
243641,True,True,True,False,False,False,10,10,0,3,7,0,0
246163,True,True,True,False,False,False,10,10,0,3,7,0,0
247135,True,True,True,False,False,False,10,10,0,3,7,0,0
248875,True,True,True,False,False,False,10,10,0,3,7,0,0
249753,True,True,True,False,False,False,10,10,0,3,7,0,0
249754,True,True,True,False,False,False,10,10,0,3,7,0,0
249756,True,True,True,False,False,False,10,10,0,3,7,0,0
249763,True,True,True,False,False,False,10,10,0,3,7,0,0
249764,True,True,True,False,False,False,10,10,0,3,7,0,0
249765,True,True,True,False,False,False,10,10,0,3,7,0,0
249768,True,True,True,False,False,False,10,10,0,3,7,0,0
249772,True,True,True,False,False,False,10,10,0,3,7,0,0
249773,True,True,True,False,False,False,10,10,0,3,7,0,0
249778,True,True,True,False,False,False,10,10,0,3,7,0,0
249779,True,True,True,False,False,False,10,10,0,3,7,0,0
249781,True,True,True,False,False,False,10,10,0,3,7,0,0
249786,True,True,True,False,False,False,10,10,0,3,7,0,0
249787,True,True,True,False,False,False,10,10,0,3,7,0,0
249793,True,True,True,False,False,False,10,10,0,3,7,0,0
249796,True,True,True,False,False,False,10,10,0,3,7,0,0
249797,True,True,True,False,False,False,10,10,0,3,7,0,0
249798,True,True,True,False,False,False,10,10,0,3,7,0,0
249804,True,True,True,False,False,False,10,10,0,3,7,0,0
249807,True,True,True,False,False,False,10,10,0,3,7,0,0
249809,True,True,True,False,False,False,10,10,0,3,7,0,0
249842,True,True,True,False,False,False,10,10,0,3,7,0,0
249844,True,True,True,False,False,False,10,10,0,3,7,0,0
249855,True,True,True,False,False,False,10,10,0,3,7,0,0
249856,True,True,True,False,False,False,10,10,0,3,7,0,0
249860,True,True,True,False,False,False,10,10,0,3,7,0,0
249861,True,True,True,False,False,False,10,10,0,3,7,0,0
249862,True,True,True,False,False,False,10,10,0,3,7,0,0
